epoch,loss,val_macro_f1
0,0.6259775170774171,0.6578391214963534
1,0.5636855485764417,0.6709088043520773
2,0.5472759961178808,0.7052621483902064
3,0.5349952682401194,0.6937801381653542
4,0.5278235430067236,0.6553067301951836
5,0.5224061888275724,0.7139179345129362
6,0.5167207582430406,0.7135187750768791
7,0.5039965320717205,0.6906211608665297
8,0.5040273932796536,0.7004044172843473
9,0.4955129722754161,0.7273662115217455
10,0.4929475337266922,0.7308687551285218
11,0.4886729536634503,0.732713298334799
12,0.47842364780830615,0.7185364336736592
13,0.4738760775688923,0.7284838845459615
14,0.46894079266172467,0.7212844844378048
15,0.4619107788259333,0.7343897119086423
16,0.460617538654443,0.7364310110997316
17,0.4531813430966753,0.7344086176620336
18,0.4500303453568256,0.7371840399572339
19,0.44014632295478473,0.7383114043953913
20,0.4358775638269656,0.7275556610522419
21,0.4268559163266962,0.7117449623254588
22,0.4205107955318509,0.7405541809635132
23,0.41926942269007367,0.7465953795068793
24,0.4109323417598551,0.7407530732789311
25,0.40722251344810834,0.7493781216091713
26,0.4017040137991761,0.7486034546343526
27,0.39905212819576263,0.74557919457248
28,0.3979861718235594,0.7463053899037057
29,0.3958941237492995,0.7463446164220557
