epoch,loss,val_macro_f1
0,0.6258303956551985,0.6956852675364716
1,0.5154711012587403,0.7035817957855921
2,0.47459793903610925,0.7114259725641264
3,0.4363930798841245,0.7187988145188487
4,0.4110263256412564,0.6972836840746572
5,0.3803345506841486,0.6997929645457485
6,0.3460146495790193,0.7176563629899984
7,0.31394078672835324,0.7095363668399624
8,0.27405804440830694,0.7152643624860818
9,0.24806930711775116,0.699059007610998
10,0.2152895839376883,0.7149882880450531
11,0.20098357579924844,0.7123607650051832
12,0.18317874216220595,0.709705632025204
13,0.16886012052947824,0.714997759861378
14,0.15470144299395155,0.7082521254261086
15,0.15537232634696094,0.7160966978740623
16,0.14044500627752507,0.7144333996279362
17,0.13466962641387276,0.7084285242796952
18,0.12770418811476592,0.7146105081304861
19,0.11903475953096693,0.7153602242965449
20,0.11233542238672574,0.7096298781784622
21,0.11139069734649225,0.7156873585102259
22,0.10084175403145226,0.7135976852548729
23,0.1007898525532448,0.7130708096743475
24,0.10002531720833345,0.7121257458509551
25,0.09750120228890216,0.7074441282882586
26,0.09848068677114719,0.7126985669976026
27,0.10156306765522018,0.709883350730089
28,0.10547289161971121,0.7110865116111057
29,0.10173567028885538,0.7109892994922028
