epoch,loss,val_macro_f1
0,0.6507521542635831,0.6713537673321017
1,0.6023599577672554,0.5505198725979784
2,0.577944253430222,0.700864120289205
3,0.5645439579631343,0.7105309316924181
4,0.5540650071519794,0.7097550593691394
5,0.5458028993823312,0.6932826908775236
6,0.5332646261562001,0.6976791164456401
7,0.5252731930125843,0.7282880745147043
8,0.517138324452169,0.720704323647404
9,0.5070385291720881,0.7171211809742218
10,0.501590549494281,0.6707136200025098
11,0.49597693076639465,0.7257019250443397
12,0.48934572889949335,0.7202700689116227
13,0.4807800921526822,0.7298250381976071
14,0.4746100636142673,0.7295255490070075
15,0.4706600800608144,0.7328209737427315
16,0.45923378882986127,0.7408168355662962
17,0.4573309308651722,0.7387063409320849
18,0.4526018658370683,0.7302020759887994
19,0.44733272673505725,0.7318117247032517
20,0.43752800063653424,0.7375475018999932
21,0.4326116040800557,0.7385478513004123
22,0.42457892045830237,0.7406291631629116
23,0.4207199595191262,0.7411422920999513
24,0.4174703169952739,0.7420497242704783
25,0.41272557097854035,0.7418377483849923
26,0.4108321431911353,0.7440531156223429
27,0.4061530878146489,0.7426907559385075
28,0.4087473045695912,0.7445311335246604
29,0.40473454242402856,0.7424513798537394
