epoch,loss,val_macro_f1
0,0.6418207314881411,0.6390583443820422
1,0.5892190152045452,0.5497725207828504
2,0.5669156922535463,0.7014691815450473
3,0.5503564951094714,0.7021743813362588
4,0.543506868409388,0.7042246954082572
5,0.5352361703460867,0.7100464280502746
6,0.5246965406518994,0.6629601033724417
7,0.5178982005877928,0.7110584404535956
8,0.512011728051937,0.71399613490704
9,0.5010435364463113,0.7045300447198948
10,0.494585574576349,0.7174492425619143
11,0.4892663580901695,0.7183981434357793
12,0.48376047701546643,0.6953503749450142
13,0.4765664668697299,0.6970948821576568
14,0.4679230207746679,0.717752542738658
15,0.46043820904962945,0.7276058397396118
16,0.4510517811233347,0.6957788120814571
17,0.4458586713581374,0.6786473266787756
18,0.4351477311416106,0.7111359530447744
19,0.42531171215303015,0.7326961173819995
20,0.41934121106610156,0.7289489376090672
21,0.41194741427898407,0.6870836236130683
22,0.3974367474967783,0.7417514043343408
23,0.3885911373477994,0.7046598155756668
24,0.38134176351807336,0.6910317530655979
25,0.37361220428437897,0.7468779601325303
26,0.37093195048245514,0.7145625892199475
27,0.3664927744504177,0.742367347896484
28,0.36381362559217395,0.749213273913719
29,0.36198699609799817,0.7434476014261527
