epoch,loss,val_macro_f1
0,0.6285957278627338,0.6943638723698133
1,0.570290233149673,0.718395091379053
2,0.5535514079260103,0.7050758813475747
3,0.5375271295056199,0.6897198478407498
4,0.5274570642998724,0.7157489144775947
5,0.525478053725127,0.7111043345780739
6,0.5141435062343424,0.714987957212185
7,0.5101235703085408,0.6970018932344216
8,0.5099905580282211,0.7187214866418092
9,0.5015548079302816,0.6985636894545927
10,0.49977106352647144,0.7327475979495003
11,0.4873968985947696,0.7372232910980308
12,0.4831875382047711,0.737277713287427
13,0.4778893215186668,0.7277423871366918
14,0.47618052634325897,0.7366332172969209
15,0.4673518425587452,0.7409574221710216
16,0.46756397142554773,0.7328395450084643
17,0.4567305612744707,0.7337577914724697
18,0.4538171024936618,0.7425000691687629
19,0.4479561524860787,0.7395757970801792
20,0.4394757481235446,0.7467793554232387
21,0.4360779045206128,0.7466025961946143
22,0.43273555961522187,0.7442325740327902
23,0.4257866378986474,0.7499853751276333
24,0.42893872026241187,0.7511992319909594
25,0.42286487465555017,0.7523564777498255
26,0.4205428610245387,0.7541240496760541
27,0.4162200725439823,0.7518463357287088
28,0.4119158698753877,0.7510119605239745
29,0.4127383909442208,0.7535236935028053
