config,params_M,val_F1,test_F1@0%,test_F1@50%,test_F1@75%,test_F1@90%
VGG11-w16,0.581211,0.7387812603099373,0.7450712252434726,0.7400782755267972,0.723770563028292,0.704568996090546
ResNet18-w16,0.702891,0.7324578664687962,0.7380357660430161,0.7279136016964,0.7117735827863924,0.6931079099127839
SimpleCNN-w32 (baseline),1.179595,0.7458206039914189,0.7495467841168222,0.7464988955224137,0.7301271102779429,0.7144065894059423
VGG11-w32,2.314411,0.742966420719731,0.7427188144786644,0.7326606009080254,0.7270502723128703,0.7110118935813969
ResNet18-w32,2.800459,0.7377131060977095,0.7395971119659286,0.7351894758261259,0.718821442638057,0.6889266838933872
VGG11-w64,9.236811,0.744421257002515,0.7462010987447876,0.7403048534959733,0.7294923783677006,0.7071559445464027
ResNet18-w64,11.179659,0.7394519170270782,0.7482934753766518,0.7417219094748184,0.7222953622806673,0.6987951716197918
