epoch,loss,val_macro_f1
0,0.6210314419233438,0.6719297690829539
1,0.5730255968642958,0.4931877655994255
2,0.548843938292879,0.6923150475315863
3,0.5399951009136258,0.6939275760922006
4,0.5322514311833815,0.6997328848254806
5,0.5251344659111716,0.7001168204499035
6,0.5141310181581613,0.6554837537570797
7,0.5084157437086105,0.7229606523559613
8,0.5083858768145243,0.7174231438155114
9,0.500263126059012,0.7168024605652225
10,0.49481077311616956,0.677644026103073
11,0.49403112494584284,0.7123036747227621
12,0.4875909916379235,0.7225520234171768
13,0.48299967700784857,0.7248438754375077
14,0.4741958984822938,0.7025941796269222
15,0.4690890325741334,0.7342290854735739
16,0.4593143431526242,0.6938213379080174
17,0.4568729188406106,0.7003399999840607
18,0.4558101472529498,0.7182054528550444
19,0.4472713055032672,0.714567767700491
20,0.4371595075636199,0.7120248616494081
21,0.43281218138608063,0.7339533299026555
22,0.42113262008536945,0.7407333862122892
23,0.4147774640357856,0.719770711421101
24,0.40968198758183105,0.7278404180675473
25,0.40383922827966284,0.747184434904442
26,0.39912174958171265,0.6892383862185205
27,0.39698376619454584,0.7418171833774337
28,0.3963404613913912,0.7469053221974948
29,0.39265803721818054,0.7427321103269322
