epoch,loss,val_macro_f1
0,0.6382256114121639,0.6772471112152106
1,0.5812502548550115,0.609500300927044
2,0.5702745074575598,0.6952017904186956
3,0.558169216820688,0.7029522433828895
4,0.5454832505096089,0.6775804633680512
5,0.5361629489696387,0.6821747355813941
6,0.5302181510311185,0.687520766342754
7,0.5259545608000322,0.7219842234462762
8,0.5239264852169788,0.7218703702050597
9,0.5170613843383212,0.7063907218415021
10,0.5125845192056714,0.7210962070911451
11,0.5068611163984645,0.7290233049352678
12,0.5005612427538092,0.7216419669017285
13,0.49752349564523407,0.7265417739080653
14,0.49262413201910077,0.7255484832680562
15,0.4857776259834116,0.7334122072895609
16,0.47908937885905756,0.7387761551161716
17,0.47577106501116895,0.7389315177416029
18,0.47258264594005817,0.7378006503576782
19,0.46980533274737274,0.736001364775284
20,0.46074169783881214,0.7386534558563802
21,0.45850282862330927,0.7450628004427574
22,0.4525142641681613,0.7421550418779792
23,0.4492285545125152,0.7472490648523317
24,0.4464437650008635,0.7477334067503659
25,0.4430416325728099,0.7453184034656747
26,0.4412467746120511,0.746580562660455
27,0.4392524479013501,0.7465415009875617
28,0.44125039423957013,0.7472853221732284
29,0.4397495709585421,0.7467371667380243
