family,params_M,train_F1,test_F1,gap,final_train_loss,best_epoch
SimpleCNN,1.18,0.7739348987385127,0.7464988955224137,0.02743600321609907,0.4444457003564546,28
VGG11,9.24,0.7823102199009552,0.7403048534959733,0.04200536640498187,0.4153024640047189,22
ResNet18-scratch,11.18,0.8015151698309603,0.7417219094748184,0.05979326035614185,0.3375513795198816,22
ResNet18-pretrained,11.21,0.7720684800366868,0.7180209748007332,0.054047505235953586,0.1017356702888553,4
