epoch,loss,val_macro_f1
0,0.6850179343512564,0.6751751854856889
1,0.6141701864473748,0.6758936161075254
2,0.58671309234518,0.6831481820293759
3,0.5659819448536093,0.7145625085641188
4,0.5426114007379069,0.6913879345456387
5,0.5407906856500742,0.6987217543294323
6,0.521693226965991,0.7174748888816496
7,0.5168178478876749,0.7263295866870295
8,0.510843114419417,0.7105529335827625
9,0.504540692224647,0.695550273003912
10,0.48819528791037475,0.7198090871885493
11,0.48319972961237934,0.7340435034179422
12,0.48013672548713104,0.7094364550166152
13,0.4701739531574827,0.7212558119423451
14,0.46239043952840747,0.7232355671418221
15,0.45504389703273773,0.7375407161491683
16,0.445719117919604,0.7375561766858509
17,0.4428130198608745,0.7252489902439287
18,0.43110899220813403,0.726238940739108
19,0.42635406237660034,0.7238036676659801
20,0.41106333831946057,0.7283473533339285
21,0.4036277356472882,0.7329226409764341
22,0.38578025048429315,0.7355830716520185
23,0.38070195958469855,0.7336086428514054
24,0.3715385329542738,0.7354052778442578
25,0.36143416979096155,0.7355046390584583
26,0.35862990175232745,0.7361600066781271
27,0.3542354355255763,0.7349195063790482
28,0.3564736405105302,0.7377131060977095
29,0.35124868154525757,0.7375179729522856
