epoch,loss,val_macro_f1
0,0.684011080048301,0.662964809357899
1,0.6053565316128008,0.6659501989822864
2,0.5795061981136148,0.6991290155848017
3,0.5650332393971357,0.7047288454310875
4,0.5519655866153312,0.6718869569725501
5,0.5483461361039769,0.6806541862947504
6,0.5305692260012482,0.697873596547307
7,0.5250449338645646,0.7242125538163827
8,0.5175168193650969,0.7134196412735219
9,0.5062726564479597,0.7205925061595354
10,0.5009132605610471,0.6546709404875696
11,0.49341490458358417,0.7268071402033964
12,0.48945950829621515,0.7222825463896061
13,0.48104781996120105,0.7262383663283385
14,0.47371411549322534,0.7195570053027283
15,0.46441802292159107,0.7258451204531018
16,0.45543697566697094,0.7337453991257461
17,0.4507504353920619,0.7304494776822846
18,0.45022580750060803,0.7306297095166479
19,0.4395617625930093,0.7395853206615114
20,0.430120615345059,0.7330317756609399
21,0.42784918438304553,0.7403306773074442
22,0.4162189590208458,0.7409825328631008
23,0.4121612138820417,0.7444871727264033
24,0.4053563990376212,0.7418981193160996
25,0.4013764022877722,0.7434110417819988
26,0.39727791692271375,0.7466457658628862
27,0.3968205957701712,0.746184327905837
28,0.3967248648405075,0.7481575082387408
29,0.3930958030801831,0.7466155383413031
