epoch,loss,val_macro_f1
0,0.6628280038183386,0.6542026610488154
1,0.5965450984058958,0.6225904741791353
2,0.5629459470510483,0.7018952423851599
3,0.5368386931491621,0.7116972842857172
4,0.5243900102196317,0.7152956495121895
5,0.4963307457439827,0.7028431148264686
6,0.4826211008158597,0.6775272991113297
7,0.4656932692636143,0.7308696764681386
8,0.4494473180084517,0.7108906805244722
9,0.4278360627817385,0.7174395297730686
10,0.4067365960641341,0.7130413325165382
11,0.39486145160414954,0.7062291614590926
12,0.3709191278074727,0.7166024165000003
13,0.3551364830045989,0.7157489716616239
14,0.33154571327296173,0.7224836638485327
15,0.3040385214668332,0.7227783978917702
16,0.27463310956954956,0.7214311259614608
17,0.2537932601390463,0.718057254707172
18,0.22376187258597577,0.7104114736192436
19,0.19475382882537265,0.7111807772241483
20,0.16951004415750504,0.7140688791848504
21,0.14535832879218188,0.7090672188428558
22,0.1195743205872449,0.7000673050358498
23,0.09861808879808946,0.7051171317277646
24,0.08878970428398161,0.7058293729567272
25,0.07867868447845633,0.7060979735890988
26,0.0716752265438889,0.7029660027622215
27,0.06873004415044279,0.7010006843621439
28,0.06540533358400519,0.704864440959235
29,0.06504825677609805,0.7056977383426397
