epoch,loss,val_macro_f1
0,0.6626195257360284,0.6891810475700608
1,0.587872378302343,0.7100890878560074
2,0.5617244383602431,0.707322338270158
3,0.5451911340157191,0.7148953377255647
4,0.5267435100042459,0.7304909796341935
5,0.5196182845216809,0.6931609599906671
6,0.5053052762241075,0.7223885545584096
7,0.4998685135082765,0.7270003364917703
8,0.49145877903158014,0.7196316659150681
9,0.48572763755466,0.7127653758671646
10,0.47330977067802893,0.7144048402980997
11,0.4627074341882359,0.7326945804918817
12,0.45597046794313373,0.7310254812062253
13,0.4443180881666415,0.7339903367800308
14,0.4318395527926358,0.7254984793826981
15,0.4224242373849406,0.7268170359113891
16,0.4084443079702782,0.7313179596679299
17,0.393508666844079,0.7329163633385172
18,0.38086182872454327,0.7262347690167662
19,0.3642325040065881,0.7325281838584455
20,0.3390622256380139,0.7230103919138977
21,0.3168274078405265,0.727896467273635
22,0.29248645517862204,0.7301112722204134
23,0.26813311423316144,0.719639943671692
24,0.2492893740083232,0.7178019963306539
25,0.22280491075732492,0.7198449293723318
26,0.20972841955495602,0.7205905802288616
27,0.19706030935049057,0.7175976074582279
28,0.18947075510566885,0.7195606137025709
29,0.1860737344532302,0.7185496255183768
