epoch,loss,val_macro_f1
0,0.62054750865156,0.7030762271626241
1,0.5123032873327081,0.7118491160768255
2,0.47735649889165704,0.7137015532015538
3,0.4402064915859338,0.7049436583064801
4,0.4139957324121938,0.7086477021520642
5,0.3920994021675803,0.7021811557700557
6,0.35082409192215314,0.7223592685981255
7,0.3259003853256052,0.7180967783258999
8,0.2849183385119294,0.7214958965085754
9,0.2560507169727123,0.7095543402294598
10,0.23059272562915628,0.7195735977050357
11,0.21110546205079916,0.7223533172936186
12,0.1895921661546736,0.715154156246886
13,0.17994488527377447,0.7147870335821882
14,0.16547028505892464,0.7201976234604319
15,0.1590200292341637,0.7235544006088575
16,0.14768457514318553,0.7230908050888677
17,0.13733264183004698,0.7130582438203958
18,0.13131255193641692,0.7117733055649459
19,0.125030703278202,0.7186043187310079
20,0.11538377404212952,0.714005102925927
21,0.11352521926164627,0.7164016326500953
22,0.10777457526913195,0.714591811629887
23,0.10416649236823573,0.7138061538396175
24,0.1045474222663677,0.7178371605436864
25,0.10124306962119811,0.7125395294980476
26,0.10318373358159354,0.7160414866521805
27,0.10473667700408083,0.7153691671002181
28,0.106012128632177,0.7168034502266408
29,0.09870580318524982,0.7176327117093414
